Ambient air temperature. :  0.0,TimeStamp:108713012522063,TimeStamp In Milliseconds1567021771874
Ambient air temperature. :  0.0,TimeStamp:108713022508063,TimeStamp In Milliseconds1567021771885
Ambient air temperature. :  0.0,TimeStamp:108713032335063,TimeStamp In Milliseconds1567021771895
Ambient air temperature. :  0.0,TimeStamp:108713042518063,TimeStamp In Milliseconds1567021771905
Ambient air temperature. :  0.0,TimeStamp:108713052057063,TimeStamp In Milliseconds1567021771914
Ambient air temperature. :  0.0,TimeStamp:108713062547063,TimeStamp In Milliseconds1567021771925
Ambient air temperature. :  0.0,TimeStamp:108713072300063,TimeStamp In Milliseconds1567021771934
Ambient air temperature. :  0.0,TimeStamp:108713082063063,TimeStamp In Milliseconds1567021771945
Ambient air temperature. :  0.0,TimeStamp:108713092218063,TimeStamp In Milliseconds1567021771954
Ambient air temperature. :  0.0,TimeStamp:108713102224063,TimeStamp In Milliseconds1567021771965
Ambient air temperature. :  0.0,TimeStamp:108713112570063,TimeStamp In Milliseconds1567021771975
Ambient air temperature. :  0.0,TimeStamp:108713122037063,TimeStamp In Milliseconds1567021771984
Ambient air temperature. :  0.0,TimeStamp:108713132493063,TimeStamp In Milliseconds1567021771994
Ambient air temperature. :  0.0,TimeStamp:108713142771063,TimeStamp In Milliseconds1567021772004
Ambient air temperature. :  0.0,TimeStamp:108713152453063,TimeStamp In Milliseconds1567021772015
Ambient air temperature. :  0.0,TimeStamp:108713162174063,TimeStamp In Milliseconds1567021772024
Ambient air temperature. :  0.0,TimeStamp:108713172697063,TimeStamp In Milliseconds1567021772035
Ambient air temperature. :  0.0,TimeStamp:108713182538063,TimeStamp In Milliseconds1567021772044
Ambient air temperature. :  0.0,TimeStamp:108713192221063,TimeStamp In Milliseconds1567021772054
Ambient air temperature. :  0.0,TimeStamp:108713202800063,TimeStamp In Milliseconds1567021772065
Ambient air temperature. :  0.0,TimeStamp:108713212055063,TimeStamp In Milliseconds1567021772075
Ambient air temperature. :  0.0,TimeStamp:108713222505063,TimeStamp In Milliseconds1567021772084
Ambient air temperature. :  0.0,TimeStamp:108713232104063,TimeStamp In Milliseconds1567021772094
Ambient air temperature. :  0.0,TimeStamp:108713242094063,TimeStamp In Milliseconds1567021772104
Ambient air temperature. :  0.0,TimeStamp:108713252424063,TimeStamp In Milliseconds1567021772115
Ambient air temperature. :  0.0,TimeStamp:108713262282063,TimeStamp In Milliseconds1567021772125
Ambient air temperature. :  0.0,TimeStamp:108713272255063,TimeStamp In Milliseconds1567021772134
Ambient air temperature. :  0.0,TimeStamp:108713282350063,TimeStamp In Milliseconds1567021772144
Ambient air temperature. :  0.0,TimeStamp:108713292242063,TimeStamp In Milliseconds1567021772154
Ambient air temperature. :  0.0,TimeStamp:108713302309063,TimeStamp In Milliseconds1567021772164
Ambient air temperature. :  0.0,TimeStamp:108713313055063,TimeStamp In Milliseconds1567021772175
Ambient air temperature. :  0.0,TimeStamp:108713322565063,TimeStamp In Milliseconds1567021772185
Ambient air temperature. :  0.0,TimeStamp:108713333207063,TimeStamp In Milliseconds1567021772195
Ambient air temperature. :  0.0,TimeStamp:108713342127063,TimeStamp In Milliseconds1567021772204
Ambient air temperature. :  0.0,TimeStamp:108713352382063,TimeStamp In Milliseconds1567021772214
Ambient air temperature. :  0.0,TimeStamp:108713362461063,TimeStamp In Milliseconds1567021772224
Ambient air temperature. :  0.0,TimeStamp:108713372384063,TimeStamp In Milliseconds1567021772235
Ambient air temperature. :  0.0,TimeStamp:108713382159063,TimeStamp In Milliseconds1567021772244
